Meses,Produccion_fotovoltaica,Consumo_electrico,Consumo_agua,Gastos_fijos
Enero,"1.334,24","9.867,30","178.353,33",80
Febrero,"1.447,09","8.970,64","193.312,00",80
Marzo,"2.051,33","9.654,95","273.475,11",80
Abril,"2.152,00","9.156,60","287.666,67","357,13"
Mayo,"2.408,62","9.935,19","321.036,00","3.082,74"
Junio,"2.410,24","10.383,60","207.120,00","1.148,30"
Julio,"2.585,61","4.806,86","178.353,33","428,48"
Agosto,"2.408,62","5.380,67","166.463,11",80
Septiembre,"1.981,76","11.769,30","264.653,33","1.092,98"
Octubre,"1.778,99","11.553,70","237.804,44","278,56"
Noviembre,"1.377,28","11.963,40","184.106,67",80
Diciembre,"1.241,86","13.598,46","166.463,11",80